,Word,Ponderado
0,miriency gonzález,1.44
1,maela,1.33
2,agroecología,1.29
3,mundo,1.25
4,miembro,1.22
5,richard intriago,1.22
6,país,1.19
7,desarrollo,1.1
8,respuesta,1.09
9,alternativa,1.04
10,territorio,1.02
11,libro,0.99
12,agua,0.96
13,caso,0.94
14,propuesta,0.91
15,amenaza,0.88
16,año,0.88
17,#,0.85
18,tarea,0.85
19,tiempo,0.81
20,observatorio,0.79
21,puerta,0.79
22,nación,0.76
23,planeta,0.73
24,link,0.71
25,medio,0.71
26,privilegio,0.71
27,un mundo donde se garantice la vida de seres humanos,0.71
28,mercado,0.69
29,parte,0.69
30,solución,0.67
31,economía,0.66
32,embarazo,0.66
33,niña,0.66
34,2020,0.65
35,mensaje,0.63
36,tala,0.63
37,agresión,0.62
38,marleny,0.62
39,perú,0.62
40,empresa,0.61
41,realidad,0.61
42,américa latina,0.6
43,campo,0.58
44,relación,0.58
45,sociedad,0.58
46,evento,0.57
47,un debate constituyente,0.57
48,comunidad,0.56
49,interés,0.54
50,aníbal quijano,0.53
51,pensador,0.53
52,grupo,0.52
53,autonomía,0.5
54,comida,0.5
55,proverbio,0.5
56,capacidad,0.48
57,fantasma,0.48
58,meta,0.48
59,ausencia,0.46
60,estado,0.46
61,instrumento,0.46
62,método,0.46
63,recuperación,0.46
64,alimento,0.45
65,asesor,0.45
66,auxiliar,0.45
67,comisión,0.45
68,derecho,0.45
69,fraude,0.45
70,mercancía,0.45
71,s/147,0.45
72,cuenta,0.42
73,dosis,0.42
74,el conocimiento debe quedar en las organizaciones sociales,0.42
75,ministerio de salud,0.42
76,muerte,0.42
77,multinacional,0.42
78,nivel,0.42
79,organización,0.42
80,vez,0.42
81,cuál,0.41
82,diccionario,0.41
83,miércoles,0.41
84,pm,0.41
85,ensayo,0.39
86,extractivismo,0.39
87,pluriverso' un diccionario del posdesarrollo,0.39
88,presentación,0.39
89,proceso,0.39
90,‼ únete,0.39
91,artículo,0.38
92,capítulo,0.38
93,cúbicos,0.38
94,ejemplo,0.38
95,empresa estadounidense,0.38
96,fondo,0.38
97,global plywood and lumber trading,0.38
98,lista,0.38
99,madera,0.38
100,metros,0.38
101,objetivo,0.38
102,pero el corazón del libro,0.38
103,pueblos indígenas,0.38
104,territorios,0.38
105,us$,0.38
106,áreas conservadas,0.38
107,academia,0.37
108,chile,0.37
109,ciencia,0.37
110,constitución,0.37
111,dato,0.37
112,daño,0.37
113,demanda,0.37
114,dificultad,0.37
115,emergencia,0.37
116,esta,0.37
117,estudiante,0.37
118,kit,0.37
119,maite chavarria,0.37
120,mayoría,0.37
121,pese,0.37
122,trimestre,0.37
123,violador,0.37
124,élite,0.37
125,acuerdo,0.36
126,asociación,0.36
127,representante,0.36
128,shirley palomino,0.36
129,1980,0.35
130,actualidad,0.35
131,antigüedad,0.35
132,aporte,0.35
133,audiencia,0.35
134,cambio,0.35
135,contaminación,0.35
136,continente,0.35
137,contumaz,0.35
138,crecimiento,0.35
139,difamación,0.35
140,ella,0.35
141,hombre,0.35
142,influjo,0.35
143,instalación,0.35
144,juzgado penal unipersonal,0.35
145,legisladora,0.35
146,los estados,0.35
147,lote,0.35
148,mujer,0.35
149,persona,0.35
150,política,0.35
151,promesa,0.35
152,pérdida,0.35
153,remuneración,0.35
154,reo,0.35
155,trabajo,0.35
156,ciudad,0.34
157,conocimiento,0.34
158,consumo,0.34
159,cooptación,0.34
160,la soberanía alimentaria,0.34
161,pueblo,0.34
162,riesgo,0.34
163,seguridad,0.34
164,tecnología,0.34
165,transformadora,0.34
166,acumulación,0.32
167,adquisición,0.32
168,ataque,0.32
169,atención,0.32
170,capital,0.32
171,centro,0.32
172,comisaría,0.32
173,compadre,0.32
174,concentración,0.32
175,contra,0.32
176,desinformación,0.32
177,familia,0.32
178,fujimorista,0.32
179,fusión,0.32
180,lugar,0.32
181,plantón,0.32
182,poder judicial,0.32
183,precedente,0.32
184,producto,0.32
185,resistencia,0.32
186,salud,0.32
187,septiembre,0.32
188,violación,0.32
189,+,0.31
190,actor,0.31
191,biodiversidad,0.31
192,biotecnología,0.31
193,busca,0.31
194,capitalismo,0.31
195,conjunto,0.31
196,debate,0.31
197,espacio,0.31
198,frontera,0.31
199,incidencia,0.31
200,innovación,0.31
201,inversión,0.31
202,josé ricapa de,0.31
203,no,0.31
204,no se puede encargar solo a constitucionalistas,0.31
205,participación,0.31
206,reflexión,0.31
207,soberanía,0.31
208,tema,0.31
209,todo ello implica una amenaza,0.31
210,bolivia,0.3
211,catolicismo,0.3
212,civilización,0.3
213,colombia,0.3
214,disculpa,0.3
215,discurso,0.3
216,diálogo,0.3
217,ecuador,0.3
218,josé ricapa,0.3
219,latinoamérica,0.3
220,madrid,0.3
221,movimiento,0.3
222,méxico,0.3
223,papa francisco,0.3
224,preocupación,0.3
225,presidenta,0.3
226,qawarisun,0.3
227,violencia,0.3
228,bosque,0.29
229,cultura,0.29
230,fuente,0.29
231,hectárea,0.29
232,la nación,0.29
233,loreto,0.29
234,millón,0.29
235,peruana,0.29
236,reconocimiento,0.29
237,región,0.29
238,agricultor,0.26
239,bill gates,0.26
240,conflicto,0.26
241,cumbre,0.26
242,guterres,0.26
243,kalibata,0.26
244,"maela""más",0.26
245,octubre,0.26
246,ongs,0.26
247,onu,0.26
248,secretario,0.26
249,sistemas alimentarios,0.26
